item,V1,V2,V3,V4,V5,Title,Artist,Style,Genre,Media,piclink,imglink,ID
57,3.839917932272477,-0.49615932446452193,0.7220175090940971,1.838151815554991,2.3578187439567055,Cows,Charles Jacque,Realism,animal painting,etching,https://www.wikiart.org/en/charles-jacque/cows-1865,https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg,57
58,2.7726751642841703,-1.2481194759435978,0.03505967281023893,2.8932869873947804,0.653423126162865,The Wood Sawyers,Jean-Francois Millet,Realism,genre painting,"oil, canvas",https://www.wikiart.org/en/jean-francois-millet/the-wood-sawyers-1852,https://uploads8.wikiart.org/images/jean-francois-millet/the-wood-sawyers-1852.jpg,58
59,5.221755119219342,-1.5374859263173122,0.8591837442690061,-2.7258267285725637,0.6176115319579331,The Card Players,Ernest Meissonier,Realism,genre painting,"oil, canvas",https://www.wikiart.org/en/ernest-meissonier/the-card-players-1872,https://uploads8.wikiart.org/images/ernest-meissonier/the-card-players-1872.jpg,59
6,5.062257126616761,-1.8247213595072753,1.098134300171061,-2.3558710371966844,1.2013525110595789,Portrait of the Empress Josephine,Pierre-Paul Prud'hon,Romanticism,portrait,"oil, canvas",https://www.wikiart.org/en/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805,https://uploads8.wikiart.org/images/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805.jpg,6
60,4.922058954575331,2.0069428448792026,2.290602675213748,1.4821847110652695,0.9501478779814988,"The Hamlet of Optevoz, in the morning",Charles -Francois Daubigny,Realism,landscape,"oil, canvas",https://www.wikiart.org/en/charles-francois-daubigny/the-hamlet-of-optevoz-in-the-morning-1852-1,https://uploads5.wikiart.org/images/charles-francois-daubigny/the-hamlet-of-optevoz-in-the-morning.jpg!Blog.jpg,60
61,-1.2369466140305188,1.9655485469302159,-1.5925991487462525,-3.291978265087884,2.3186496500460443,They tens mainstay IV,Hilma af Klint,Abstract Art,abstract,"oil, paper, tempera",https://www.wikiart.org/en/hilma-af-klint/they-tens-mainstay-iv-1907,https://uploads8.wikiart.org/images/hilma-af-klint/they-tens-mainstay-iv-1907.jpg,61
62,-0.034846709834125966,5.404211833083589,-2.6266610049714822,-1.2761066931264413,-1.1081579785587212,Composition VI,Wassily Kandinsky,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/wassily-kandinsky/composition-vi-1913,https://uploads8.wikiart.org/images/wassily-kandinsky/composition-vi-1913.jpg,62
63,-5.811583218723651,-0.15794400786905358,1.138387416839149,1.6736266993934374,1.8595209217100348,Autumn Coloring No. 4,John Marin,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/john-marin/autumn-coloring-no-4-1952,https://uploads8.wikiart.org/images/john-marin/autumn-coloring-no-4-1952.jpg,63
64,-1.7082770478677665,-0.16707152714100507,1.4537776706934276,4.389585884057637,-0.11277902159878775,The First Cry,Constantin Brancusi,Abstract Art,sculpture,cement,https://www.wikiart.org/en/constantin-brancusi/the-first-cry-1917,https://uploads8.wikiart.org/images/constantin-brancusi/the-first-cry-1917.jpg,64
65,-2.861318552246326,2.0067083500620106,-2.126012371447304,-2.0254309112333937,1.3948241461891238,Lighthouse,Marsden Hartley,Abstract Art,figurative,"oil, canvas",https://www.wikiart.org/en/marsden-hartley/lighthouse-1915,https://uploads8.wikiart.org/images/marsden-hartley/lighthouse-1915.jpg,65
66,-4.238067406094062,1.1401893742566884,-0.6261657298901105,-1.0358124145889638,2.5489318483153673,Side Panels for 'Anatomy of Aphrodite',Paul Klee,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/paul-klee/side-panels-for-anatomy-of-aphrodite-1915,https://uploads6.wikiart.org/images/paul-klee/side-panels-for-anatomy-of-aphrodite-1915(1).jpg,66
67,-0.3775877533830269,6.048362138961415,-1.3623461605640879,0.09953927236048181,0.40247180307255986,Sails,Arthur Dove,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/arthur-dove/sails-1912,https://uploads8.wikiart.org/images/arthur-dove/sails-1912.jpg,67
68,-1.9579157385281265,6.453070930887609,-0.9911709338017334,-0.029763561247690307,0.4476602333966136,Abstraction,Arthur Beecher Carles,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/arthur-beecher-carles/abstraction-1941,https://uploads8.wikiart.org/images/arthur-beecher-carles/abstraction-1941.jpg,68
69,-2.3225253809336652,5.118918221210571,1.830659455082951,0.2471771805358978,-1.5411255515085136,Abstract Composition,Jean Arp,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/jean-arp/abstract-composition,https://uploads8.wikiart.org/images/jean-arp/abstract-composition.jpg,69
7,3.1706777195304867,-4.660311816950244,0.8361329428338371,-2.014808454284457,1.6672787884378337,Rear-Admiral Sir Horatio Nelson,John Hoppner,Romanticism,portrait,"oil, canvas",https://www.wikiart.org/en/john-hoppner/rear-admiral-sir-horatio-nelson-ca-1800,https://uploads8.wikiart.org/images/john-hoppner/rear-admiral-sir-horatio-nelson-ca-1800.jpg,7
70,-1.3990092537845586,1.9284949682030237,-0.3219684481009681,-0.4353032048619063,0.05137854094338633,Komposition,Otto Freundlich,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/otto-freundlich/komposition-1940,https://uploads8.wikiart.org/images/otto-freundlich/komposition-1940.jpg,70
71,0.7821113373936844,0.5797252550878361,1.0312126131854846,-1.8798607998078656,4.002286834973941,Egyptian no. 2,Owen Jones,Art Nouveau,design,lithography,https://www.wikiart.org/en/owen-jones/egyptian-no-2,https://uploads8.wikiart.org/images/owen-jones/egyptian-no-2.jpg,71
