Title,Artist,Style,Genre,Media,Link to Picture,link to image,Artwork_ID,,,,
Peace Driving War Away,Giulio Cesare Procaccini,Baroque,allegorical painting,"oil, canvas",https://www.wikiart.org/en/giulio-cesare-procaccini/peace-driving-war-away-1620,https://uploads3.wikiart.org/00316/images/giulio-cesare-procaccini/giulio-cesare-procaccini-la-pace-scaccia-la-guerra-1620-ca.JPG!HD.JPG,49,,,,
Equestrian Portrait of the Duke of Lerma,Peter Paul Rubens,Baroque,portrait,"oil, canvas",https://www.wikiart.org/en/peter-paul-rubens/equestrian-portrait-of-the-duke-of-lerma-1603,https://uploads8.wikiart.org/images/peter-paul-rubens/equestrian-portrait-of-the-duke-of-lerma-1603.jpg,50,,,,
Sleeping Herd-Boy,Alexey Venetsianov,Realism,genre painting,"oil, wood",https://www.wikiart.org/en/alexey-venetsianov/sleeping-herd-boy,https://uploads8.wikiart.org/images/alexey-venetsianov/sleeping-herd-boy.jpg,51,,,,
Venice Gondola on Grand Canal,Camille Corot,Realism,cityscape,"oil, canvas",https://www.wikiart.org/en/camille-corot/venice-gondola-on-grand-canal,https://uploads8.wikiart.org/images/camille-corot/venice-gondola-on-grand-canal.jpg,52,,,,
The Arch of the General Headquarters Building,Vasily Sadovnikov,Realism,cityscape,watercolor,https://www.wikiart.org/en/vasily-sadovnikov/the-arch-of-the-general-headquarters-building,https://uploads8.wikiart.org/images/vasily-sadovnikov/the-arch-of-the-general-headquarters-building.jpg,53,,,,
The Parthenon,Ippolito,Realism,cityscape,"oil, canvas",https://www.wikiart.org/en/ippolito-caffi/the-parthenon-1863,https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg,54,,,,
The Windmill,Jules Dupre,Realism,"landscape, cloudscape","oil, canvas",https://www.wikiart.org/en/jules-dupre/the-windmill-1859,https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg,55,,,,
Market in Normandy,Theodore Rousseau,Realism,landscape,"oil, canvas",https://www.wikiart.org/en/theodore-rousseau/market-in-the-normandy,https://uploads8.wikiart.org/images/theodore-rousseau/market-in-the-normandy.jpg,56,,,,
Cows,Charles Jacque,Realism,animal painting,etching ,https://www.wikiart.org/en/charles-jacque/cows-1865,https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg,57,,,,
The Wood Sawyers,Jean-Francois Millet,Realism,genre painting,"oil, canvas",https://www.wikiart.org/en/jean-francois-millet/the-wood-sawyers-1852,https://uploads8.wikiart.org/images/jean-francois-millet/the-wood-sawyers-1852.jpg,58,,,,
The Card Players,Ernest Meissonier,Realism,genre painting,"oil, canvas",https://www.wikiart.org/en/ernest-meissonier/the-card-players-1872,https://uploads8.wikiart.org/images/ernest-meissonier/the-card-players-1872.jpg,59,,,,
"The Hamlet of Optevoz, in the morning",Charles -Francois Daubigny,Realism,landscape,"oil, canvas",https://www.wikiart.org/en/charles-francois-daubigny/the-hamlet-of-optevoz-in-the-morning-1852-1,https://uploads5.wikiart.org/images/charles-francois-daubigny/the-hamlet-of-optevoz-in-the-morning.jpg!Blog.jpg,60,,,,
They tens mainstay IV,Hilma af Klint,Abstract Art,abstract,"oil, paper, tempera",https://www.wikiart.org/en/hilma-af-klint/they-tens-mainstay-iv-1907,https://uploads8.wikiart.org/images/hilma-af-klint/they-tens-mainstay-iv-1907.jpg,61,,,,
Composition VI,Wassily Kandinsky,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/wassily-kandinsky/composition-vi-1913,https://uploads8.wikiart.org/images/wassily-kandinsky/composition-vi-1913.jpg,62,,,,
Autumn Coloring No. 4,John Marin,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/john-marin/autumn-coloring-no-4-1952,https://uploads8.wikiart.org/images/john-marin/autumn-coloring-no-4-1952.jpg,63,,,,
The First Cry,Constantin Brancusi,Abstract Art,sculpture,cement,https://www.wikiart.org/en/constantin-brancusi/the-first-cry-1917,https://uploads8.wikiart.org/images/constantin-brancusi/the-first-cry-1917.jpg,64,,,,
Lighthouse,Marsden Hartley,Abstract Art,figurative,"oil, canvas",https://www.wikiart.org/en/marsden-hartley/lighthouse-1915,https://uploads8.wikiart.org/images/marsden-hartley/lighthouse-1915.jpg,65,,,,
Side Panels for 'Anatomy of Aphrodite',Paul Klee,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/paul-klee/side-panels-for-anatomy-of-aphrodite-1915,https://uploads6.wikiart.org/images/paul-klee/side-panels-for-anatomy-of-aphrodite-1915(1).jpg,66,,,,
Sails,Arthur Dove,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/arthur-dove/sails-1912,https://uploads8.wikiart.org/images/arthur-dove/sails-1912.jpg,67,,,,
Abstraction,Arthur Beecher Carles,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/arthur-beecher-carles/abstraction-1941,https://uploads8.wikiart.org/images/arthur-beecher-carles/abstraction-1941.jpg,68,,,,
Abstract Composition,Jean Arp,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/jean-arp/abstract-composition,https://uploads8.wikiart.org/images/jean-arp/abstract-composition.jpg,69,,,,
Komposition,Otto Freundlich,Abstract Art,abstract,"oil, canvas",https://www.wikiart.org/en/otto-freundlich/komposition-1940,https://uploads8.wikiart.org/images/otto-freundlich/komposition-1940.jpg,70,,,,
